MCC,MNC,LAC_TAC,ENB_GNB,CI,ECI_NCI,CGI_ECGI_NCGI,PARAGON_ID,CELL_IDENTIFIER,TECNOLOGIA,BANDA,LATITUDE,LONGITUDE,AZIMUTE,NOME,MORADA,MORADA1,FREGUESIA,Concelho,Concelho_CD,Distrito,Distrito_CD,CP4,CP3,DESIGNACAO_POSTAL,DATA,DICOFRE
268,2,,101642,52,26020404,268-02-26020404,,,4,900,39.1503982,-9.302736,120,A DOS CUNHADOS (2),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,101642,92,26020444,268-02-26020444,,,4,2600,39.1503982,-9.302736,120,A DOS CUNHADOS (2),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,101642,182,26020534,268-02-26020534,,,4,1800,39.1503982,-9.302736,120,A DOS CUNHADOS (2),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,501642,52,128420404,268-02-128420404,,,4,900,39.1503982,-9.302736,120,A DOS CUNHADOS (2),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,501642,182,128420534,268-02-128420534,,,4,1800,39.1503982,-9.302736,120,A DOS CUNHADOS (2),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,101642,53,26020405,268-02-26020405,,,4,900,39.1503982,-9.302736,240,A DOS CUNHADOS (3),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,101642,93,26020445,268-02-26020445,,,4,2600,39.1503982,-9.302736,240,A DOS CUNHADOS (3),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,101642,183,26020535,268-02-26020535,,,4,1800,39.1503982,-9.302736,240,A DOS CUNHADOS (3),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,501642,53,128420405,268-02-128420405,,,4,900,39.1503982,-9.302736,240,A DOS CUNHADOS (3),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
268,2,,501642,183,128420535,268-02-128420535,,,4,1800,39.1503982,-9.302736,240,A DOS CUNHADOS (3),,,UNIAO DAS FREGUESIAS DE A DOS CUNHADOS E MACEIRA,TORRES VEDRAS,1113,LISBOA,11,,,,6/1/2025,111321
